Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.0611,1.0612,1.1198,0,0,0,0.99714,0.0033447,3.1883E-49,-8.6633E-35,0.0065936,1.1444E-17,0.0033447,0,0,0,0,0,0,package://smarty.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smarty.SLDASM/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
j1,2.72578845184057E-06,-4.80199269237147E-07,0.0459860104493088,0,0,0,2.41301594263013,0.0103221730348453,-5.49792375293713E-08,8.45859024483153E-09,0.0266896634036695,4.97514261449282E-08,0.0267626968301687,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j1.STL,,j1-1,Origin_J1,Axis_J1,J1,continuous,1.0611,-1.1198,1.0732,0,0,1.2868,base_link,0,0,1,3,0.3,0,13,,,,,,,,
j2,0.186731344479508,0.0277663876520325,4.44089209850063E-16,0,0,0,8.45015818581326,0.0378243078771554,-0.00292045025260269,-9.28077059647592E-17,0.160823416542648,-1.11022302462516E-16,0.137799503600511,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j2.STL,,j2-1,Origin_J2,Axis_J2,J2,continuous,0,0,0.109,1.5708,-1.1612,-1.5708,j1,0,0,1,10,0.4,0,2,,,,,,,,
j3,0.165739050222885,0,-9.99200722162641E-16,0,0,0,2.2411047959635,0.0026306785283506,3.37593451457674E-17,1.77754946178998E-16,0.0366498495542086,-9.10729824887824E-18,0.0351581847803734,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j3.STL,,J3-1,Origin_J3,Axis_J3,J3,continuous,0.425,0,0,0,0,-2.0634,j2,0,0,1,10,0.4,0,3,,,,,,,,
j4,8.88178419700125E-16,-4.44089209850063E-16,-0.0191065313390486,0,0,0,0.298813600776042,0.000585663342419046,-4.66206934168767E-18,-1.32814766129474E-18,0.00109888441659248,-3.63885354140447E-18,0.00070816202567387,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j4.STL,,j4-1,Origin_J4,Axis_J4,J4,continuous,0.43778,0,0,1.5708,1.484,1.5708,j3,0,0,1,2,3,0,13,,,,,,,,
j5,-7.31669380638067E-08,0.000699853216613033,0.0199993166490899,0,0,0,0.273297515635956,0.000182445841536124,4.7084240305061E-11,2.31874851838818E-10,0.000413096047856068,-1.47160229203283E-10,0.000402699013548428,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j5.STL,,j5-1,Origin_J5,Axis_J5,J5,continuous,0,0,0.05,-1.1188,0,0,j4,1,0,0,3,3,0,1.6,,,,,,,,
j6,0.049239864951356,0.00502774154853924,0.0449246231155773,0,0,0,0.078147117258046,2.44312541272294E-05,-4.2351647362715E-20,2.03287907341032E-20,2.54767270417922E-05,4.30904522613064E-06,2.91481777295478E-05,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smarty.SLDASM/meshes/j6.STL,,j6-1,Origin_J6,Axis_J6,J6,continuous,-0.05,0.00069983,-0.00033976,0,0,-0.17459,j5,0,0,1,3,3,0,13,,,,,,,,
